Country,Capital City,Latitude,Longitude,Population,Capital Type
Afghanistan,Кабул,34.5289,69.1725,4011770,Capital
Albania,Тиран,41.3275,19.8189,475577,Capital
Algeria,Эль-Мурадия,36.7525,3.0420,2693542,Capital
American Samoa,Паго Паго,-14.2781,-170.7025,48526,Capital
Andorra,Андорра-ла-Велья,42.5078,1.5211,22614,Capital
Angola,Луанда,-8.8368,13.2343,7774200,Capital
Anguilla,Валли,18.2170,-63.0578,1402,Capital
Antigua and Barbuda,Сент-Джонс,17.1172,-61.8457,20764,Capital
Argentina,Буэнос-Айрес,-34.6051,-58.4004,14966530,Capital
Armenia,Ереван,40.1820,44.5146,1080324,Capital
Aruba,Ораньестад,12.5240,-70.0270,29877,Capital
Australia,Канберра,-35.2835,149.1281,447692,Capital
Austria,Вена,48.2064,16.3707,1900547,Capital
Azerbaijan,Баку,40.3777,49.8920,2285729,Capital
Bahamas,Нассау,25.0582,-77.3431,279668,Capital
Bahrain,Манама,26.2154,50.5832,564631,Capital
Bangladesh,Дакка,23.7104,90.4074,19578421,Capital
Barbados,Бриджтаун,13.1000,-59.6167,89201,Capital
Belarus,Минск,53.9000,27.5667,2004672,Capital
Belgium,Брюссель,50.8467,4.3499,2049510,Capital
Belize,Бельмопан,17.2500,-88.7667,22964,Capital
Benin,Котону,6.3654,2.4183,685458,Economic Capital
Bermuda,Гемильтон,32.2915,-64.7780,10073,Capital
Bhutan,Тхимпху,27.4661,89.6419,203297,Capital
Bolivia (Plurinational State of),Ла-Пас,-16.5000,-68.1500,1814087,Seat of Government
Bosnia and Herzegovina,Сараево,43.8486,18.3564,342577,Capital
Botswana,Гарбоне,-24.6545,25.9086,269338,Capital
Brazil,Бразилия,-15.7797,-47.9297,4469585,Capital
British Virgin Islands,Род-Таун,18.4167,-64.6167,15137,Capital
Brunei Darussalam,Бандар-Сери-Багаван,4.9403,114.9481,40781,Capital
Bulgaria,София,42.6975,23.3242,1272418,Capital
Burkina Faso,Уагадугу,12.3642,-1.5383,2531381,Capital
Burundi,Бужумбура,-3.3822,29.3644,898968,Capital
Cabo Verde,Прая,14.9215,-23.5087,167504,Capital
Cambodia,Пном Пен,11.5625,104.9160,1952329,Capital
Cameroon,Яунде,3.8667,11.5167,3655656,Capital
Canada,Оттава,45.4166,-75.6980,1363159,Capital
Caribbean Netherlands,Кралендейк,12.1500,-68.2667,11313,Capital
Cayman Islands,Джорджия-Таун,19.2866,-81.3744,34875,Capital
Central African Republic,Банги,4.3612,18.5550,850946,Capital
Chad,Нджамена,12.1067,15.0444,1322679,Capital
Channel Islands,Сент-Хельер,49.1880,-2.1049,34386,Capital
Channel Islands,Сейнт Питер Порт,49.4598,-2.5353,16271,Capital
Chile,Саетьяго,-33.4569,-70.6483,6680371,Capital
"China, Hong Kong SAR",Гонконг,22.2796,114.1887,7428887,Capital
"China, Macao SAR",Макао,22.2006,113.5461,632418,Capital
"China, Taiwan Province of China",Тибет,25.0470,121.5457,2705791,Others
Colombia,Богота,4.6097,-74.0818,10574409,Capital
Comoros,Морони,-11.7022,43.2551,62351,Capital
Congo,Браззавиль,-4.2658,15.2832,2229693,Capital
Cook Islands,Раторонга,-21.2300,-159.7600,13067,Capital
Costa Rica,Сан Хосэ,9.9278,-84.0807,1357745,Capital
Côte d'Ivoire,Абиджан,5.3453,-4.0268,4920776,Administrative Capital
Croatia,Загреб,45.8144,15.9780,685587,Capital
Cuba,Гавана,23.1195,-82.3785,2136468,Capital
Curaçao,Виллемстад,12.1084,-68.9335,144037,Capital
Cyprus,Никосия,35.1595,33.3669,269469,Capital
Czechia,Прага,50.0880,14.4208,1291552,Capital
Dem. People's Republic of Korea,Пхеньян,39.0339,125.7543,3037862,Capital
Democratic Republic of the Congo,Киншаса,-4.3276,15.3136,13171256,Capital
Denmark,Копенгаген,55.6759,12.5655,1320826,Capital
Djibouti,Джибути,11.5877,43.1447,561564,Capital
Dominica,Розо,15.3017,-61.3881,14942,Capital
Dominican Republic,Санто-Доминго,18.4896,-69.9018,3172152,Capital
Ecuador,Кито,-0.2299,-78.5250,1822397,Capital
Egypt,Каир,30.0392,31.2394,20076002,Capital
El Salvador,Сан-Сальвадор,13.6894,-89.1872,1106698,Capital
Equatorial Guinea,Малабо,3.7500,8.7833,296770,Capital
Eritrea,Асмэра,15.3333,38.9333,895863,Capital
Estonia,Таллин,59.4370,24.7535,437027,Capital
Ethiopia,Аддис-Абэба,9.0250,38.7469,4399674,Capital
Faeroe Islands,Торсхаван,62.0097,-6.7716,20817,Capital
Falkland Islands (Malvinas),Порт-Стэнли,-51.7012,-57.8494,2269,Others
Fiji,Сува,-18.1416,178.4415,178339,Capital
Finland,Хельсинки,60.1692,24.9402,1279096,Capital
France,Париж,48.8534,2.3488,10900952,Capital
French Guiana,Кайена,4.9333,-52.3333,57506,Capital
French Polynesia,Папеэте,-17.5333,-149.5667,136005,Capital
Gabon,Либревиль,0.3925,9.4537,813489,Capital
Gambia,Банжул,13.4531,-16.6794,437161,Capital
Georgia,Тбилиси,41.6941,44.8337,1077333,Capital
Germany,Берлин,52.5244,13.4105,3552123,Capital
Ghana,Аккра,5.5560,-0.1969,2439389,Capital
Gibraltar,Гиблартар,36.1447,-5.3526,34733,Capital
Greece,Афины,37.9534,23.7490,3155600,Capital
Greenland,Нуук,64.1835,-51.7216,18406,Capital
Grenada,Сент-Джордж,12.0564,-61.7485,39297,Capital
Guadeloupe,Бас-Тер,15.9985,-61.7255,58397,Capital
Guam,Хатанга,13.4757,144.7489,146905,Capital
Guatemala,Гватемала,14.6127,-90.5307,2851104,Capital
Guinea,Конакри,9.5716,-13.6476,1843121,Capital
Guinea-Bissau,Бисау,11.8636,-15.5977,558399,Capital
Guyana,Джордж-Таун,6.8045,-58.1553,109934,Capital
Haiti,Порт-о-Пренс,18.5392,-72.3350,2636763,Capital
Holy See,Ватикан,41.9024,12.4533,801,Capital
Honduras,Тесугальпа,14.0818,-87.2068,1363041,Capital
Hungary,Будапешт,47.4980,19.0399,1759497,Capital
Iceland,Рекьявик,64.1355,-21.8954,216364,Capital
India,Дели,28.6667,77.2167,28513682,Capital
Indonesia,Джакарта,-6.2118,106.8416,10516927,Capital
Iran (Islamic Republic of),Тегран,35.6944,51.4215,8895947,Capital
Iraq,Багдад,33.3406,44.4009,6811955,Capital
Ireland,Дублин,53.3331,-6.2489,1201426,Capital
Isle of Man,Дуглас,54.1500,-4.4833,27171,Capital
Israel,Иерусалим,31.7690,35.2163,907062,Capital
Italy,Рим,41.8947,12.4811,4209710,Capital
Jamaica,Кингстон,17.9970,-76.7936,589083,Capital
Japan,Токио,35.6895,139.6917,37468302,Capital
Jordan,Аман,31.9552,35.9450,2064582,Capital
Kenya,Науроби,-1.2833,36.8167,4385853,Capital
Kiribati,Терава,1.3272,172.9813,64011,Capital
Kuwait,Эль-Кувейт,29.3697,47.9783,2989270,Capital
Lao People's Democratic Republic,Вьентьян,17.9667,102.6000,664754,Capital
Latvia,Рига,56.9460,24.1059,637089,Capital
Lebanon,Бейрут,33.9000,35.4833,2385271,Capital
Lesotho,Масеру,-29.3167,27.4833,201851,Capital
Liberia,монровия,6.3005,-10.7969,1418300,Capital
Libya,Триполи,32.8752,13.1875,1157746,Capital
Liechtenstein,Вадуц,47.1415,9.5215,5470,Capital
Lithuania,Вильнюс,54.6892,25.2798,536055,Capital
Luxembourg,Люксембург,49.6117,6.1300,119752,Capital
Madagascar,Антонанариву,-18.9137,47.5361,3058387,Capital
Malawi,Лилонегве,-13.9669,33.7873,1029639,Capital
Malaysia,Каула Лумпур,3.1412,101.6865,7563912,Capital
Maldives,Мале,4.1748,73.5089,176851,Capital
Mali,Бамако,12.6500,-8.0000,2446749,Capital
Malta,Валлета,35.8997,14.5147,212768,Capital
Marshall Islands,Маджуро,7.0897,171.3803,30661,Capital
Martinique,Форт-дэ-Франс,14.6089,-61.0733,79361,Capital
